000841,EL05239303501,冷川峠Ａ,静岡県,伊東市,本田技研工業㈱伊東研修センター
000842,EL05238314901,岡部Ａ,静岡県,藤枝市,新舟会館
000843,EL05234600302,岡山加茂Ａ,岡山県,津山市,加茂町総合グランド駐車場
010844,EL06140260403,青森Ａ,青森県,青森市,青森市立原別小学校
010845,EL05640023504,福島郡山１Ａ,福島県,郡山市,郡山市立安積第二小学校
010846,EL05033538602,高知大川Ａ,高知県,大川村,大川村有農地
020847,EL05237569902,水窪Ａ,静岡県,浜松市,水窪高齢者交流センター
020848,EL06841271601,稚内３,北海道,稚内市,稚内市立大岬小学校
020849,EL06741677003,稚内４,北海道,稚内市,稚内市立豊別小中学校跡地
020850,EL06742328302,中頓別,北海道,中頓別町,中頓別町立寿公園
020851,EL06742209102,幌延,北海道,幌延町,幌延町立問寒別小中学校
020852,EL06742009302,中川,北海道,中川町,中川町立佐久小学校跡地
020853,EL06642645501,美深,北海道,美深町,美深町教職員住宅
020854,EL06642379402,西興部,北海道,西興部村,西興部村体験公園
020855,EL06641368902,羽幌２,北海道,羽幌町,羽幌町有地(興勢橋付近)
020856,EL06643321902,紋別,北海道,紋別市,紋別市立藻別小学校
020857,EL06642139202,士別,北海道,士別市,南郷市民プール
020858,EL06642143801,北海道朝日,北海道,士別市,士別市営住宅
020859,EL06644077901,斜里２,北海道,斜里町,斜里町立ウトロ小中学校
020860,EL06641066802,小平２,北海道,小平町,小平町立達布小学校跡地
020861,EL06543649203,生田原,北海道,遠軽町,遠軽町立生田原中学校
020862,EL06542616802,旭川２,北海道,旭川市,旭川市立江丹別小中学校
020863,EL06543615401,白滝,北海道,遠軽町,遠軽町立白滝中学校
020864,EL06545505401,標津２,北海道,標津町,標津町立薫別小中学校
020865,EL06542417002,深川,北海道,深川市,深川市立納内中学校
020866,EL06543435001,留辺蘂,北海道,北見市,旧厚和小学校用地
020867,EL06542367301,東川,北海道,東川町,国有林(旭岳温泉「湯の沼」
020868,EL06543377903,津別,北海道,津別町,津別町立本岐小学校
020869,EL06545216702,別海３,北海道,別海町,別海町立野付小学校
020870,EL06544255701,中標津２,北海道,中標津町,中標津町立養老牛小学校
020871,EL06542212503,芦別,北海道,芦別市,芦別市立芦別小学校
020872,EL06541240902,当別,北海道,当別町,町有牧野
020873,EL06543166002,陸別,北海道,陸別町,陸別町立陸別中学校
020874,EL06543013401,上士幌２,北海道,上士幌町,上士幌町立糠平小学校
020875,EL06440738002,積丹２,北海道,積丹町,積丹町サクラマスサンクチュアリーセンター
020876,EL06441628703,石狩,北海道,石狩市,石狩斎場
020877,EL06441656201,新篠津,北海道,新篠津村,新篠津村立新篠津中学校
020878,EL06444676702,浜中２,北海道,浜中町,浜中町立西円朱別小学校
020879,EL06443600202,鹿追,北海道,鹿追町,鹿追町立瓜幕小学校
020880,EL06442549501,南富良野,北海道,南富良野町,南富良野町立幾寅小学校
020881,EL06444537902,標茶２,北海道,標茶町,標茶町立塘路小中学校　教職員住宅
020882,EL06441516602,札幌２,北海道,札幌市,札幌市立星置中学校
020883,EL06443544701,本別,北海道,本別町,本別町立本別中央小学校
020884,EL06440469401,赤井川,北海道,赤井川村,赤井川村立赤井川小学校　教職員住宅
020885,EL06442246202,北海道日高,北海道,日高町,日高町立千栄小学校跡地
020886,EL06443156202,浦幌,北海道,浦幌町,浦幌町立浦幌中学校
020887,EL06442176602,芽室,北海道,芽室町,芽室町立上美生小学校
020888,EL06440002002,島牧,北海道,島牧村,千走地区山村広場
020889,EL06443020501,幕別,北海道,幕別町,幕別町立駒畠小学校
020890,EL06342636101,門別２,北海道,日高町,日高町立里平小学校
020891,EL06342363101,浦河,北海道,浦河町,浦河町自然体験実習館「柏陽館」
020892,EL06240478401,戸井,北海道,函館市,運動広場
020893,EL06240445202,木古内,北海道,木古内町,木古内町立釜谷小学校
020894,EL06241105701,風間浦,青森県,風間浦村,風間浦村立下風呂小学校跡地
020895,EL06140673802,青森川内,青森県,むつ市,むつ市立川内中学校
020896,EL06141539001,東通２,青森県,東通村,東通村立老部小学校
020897,EL06140524301,小泊,青森県,中泊町,中泊町立小泊中学校
020898,EL06140007001,深浦,青森県,深浦町,深浦町立風合瀬小学校
020899,EL06041609803,十和田湖１,青森県,十和田市,上川目浄水場
020901,EL06041621602,五戸,青森県,五戸町,ひばり野スポーツ交流センター
020902,EL06040573502,十和田湖２,青森県,十和田市,十和田湖自然の家(2007.2現在機能していない)
020903,EL06041332802,軽米,岩手県,軽米町,妻渡ふれあい広場
020904,EL06041102301,安代,岩手県,八幡平市,八幡平市立安代中学校
020905,EL05941756201,岩泉３,岩手県,岩泉町,岩泉町立大平小中学校跡地
020906,EL05941478702,田老,岩手県,宮古市,宮古市立田老第一中学校
020907,EL05941336402,川井２,岩手県,川井村,川井村立門馬小中学校
020908,EL05940266603,沢内,岩手県,西和賀町,西和賀町防雪管理センター
020909,EL05941125302,大迫,岩手県,花巻市,花巻市水道事業所
020910,EL05841628402,江刺,岩手県,奥州市,奥州市立人首小学校
020911,EL05841431202,岩手大東,岩手県,一関市,一関市立大原小学校
020912,EL05841319101,平泉,岩手県,平泉町,平泉町立長島小学校
020913,EL05840362602,栗駒２,宮城県,栗原市,栗駒高原創造センター（山脈ハウス）
020914,EL05841029501,宮城東和,宮城県,登米市,東和総合支所
020915,EL05841002001,高清水,宮城県,栗原市,高清水勤労者体育センター
020916,EL05741719201,南方,宮城県,登米市,登米市立南方中学校
020917,EL05740658802,小野田,宮城県,加美町,小野田町総合交流ターミナル施設「ぶな林」
020918,EL05741621401,河北,宮城県,石巻市,石巻市立河北中学校
020919,EL05740271503,名取,宮城県,名取市,名取市立閖上中学校
020920,EL05640558802,丸森,宮城県,丸森町,町有地
020921,EL06040400202,八森,秋田県,八蜂町,八蜂町立八森小学校
020922,EL06040231201,鷹巣,秋田県,北秋田市,北秋田市立南小学校
020923,EL06040101001,八竜,秋田県,三種町,三種町立八竜中学校
020924,EL05940740202,阿仁２,秋田県,北秋田市,打当温泉「マタギの湯」
020925,EL05940203401,岩城,秋田県,由利本荘市,由利本荘市立岩城中学校
020926,EL05940240702,太田,秋田県,大仙市,大仙市立太田南小学校
020927,EL05840725202,東由利,秋田県,由利本荘市,由利本荘市立東由利中学校
020928,EL05840557701,東成瀬,秋田県,東成瀬村,東成瀬村立椿川小学校跡地（椿川公民館別館）
020929,EL05840436502,雄勝,秋田県,湯沢市,湯沢市立雄勝中学校
020930,EL05840312402,真室川,山形県,真室川町,平枝地区農村公園
020931,EL05840130901,最上,山形県,最上町,最上町立月楯小学校
020932,EL05839054302,鶴岡,山形県,鶴岡市,鶴岡市立三瀬小学校
020933,EL05740715701,大蔵,山形県,大蔵村,大蔵村立沼台小中学校
020934,EL05740230101,山形,山形県,山形市,山形市立蔵王第三小学校・第二中学校
020935,EL05639770003,飯豊,山形県,飯豊町,飯豊町立中津川小中学校
020936,EL05640630501,福島２,福島県,福島市,福島市立飯坂小学校
020937,EL05639470702,北塩原,福島県,北塩原村,北塩原村立大塩小学校
020938,EL05640340501,福島東和,福島県,二本松市,二本松市立東和中学校
020939,EL05639165602,会津高田,福島県,会津美里町,会津美里町立第一中学校
020940,EL05640133701,福島郡山３,福島県,郡山市,郡山市立大田小学校
020941,EL05539759402,昭和,福島県,昭和村,昭和村立昭和中学校小野川分校
020942,EL05540715703,福島長沼,福島県,須賀川市,須賀川市立長沼小学校
020943,EL05540635602,玉川,福島県,玉川村,玉川村立須釜小学校
020944,EL05540651702,いわき３,福島県,いわき市,いわき市立差塩中学校(小学校併設)
020945,EL05540432001,棚倉,福島県,棚倉町,棚倉森林管理署裏町有地
